passage_id,question,passage
2001_83.txt:Art.12,"Jaki dokument sporządza producent skrobi?","Art. 12. 1. Producent skrobi sporządza dla każdej dostawy ziemniaków dokument odbioru,  który obejmuje w szczególności:  1) datę i numer dostawy,  2) numer umowy o dostawę,  3) nazwę i określenie siedziby lub imię, nazwisko i adres, a także numer  identyfikacyjny plantatora ziemniaków,  4) masę środka transportu przed rozładowaniem i po rozładowaniu,  5) masę brutto ziemniaków,  6) określenie udziału zanieczyszczeń wyrażonego w procentach,  7) określenie udziału ziemniaków drobnych w ciężarze brutto dostawy  wyrażonego w procentach,  8) całkowitą masę netto dostawy pomniejszoną o procentowy udział  zanieczyszczeń i ziemniaków drobnych,  9) określenie zawartości skrobi wyrażonej procentowo lub jako masa pod wodą,  10) wysokość zapłaty za dostarczone ziemniaki. 2. Producent skrobi jest obowiązany:  1) prowadzić rejestr umów o dostawę ziemniaków i rejestr dostaw,  2) sporządzać dla każdego plantatora ziemniaków łączny wykaz płatności  zawierający:  a) dane, o których mowa w ust. 1 pkt 2 i 3 oraz pkt 7-10,  b) daty i numery dokumentów odbioru,  c) kwoty wypłacone w ramach dostaw i daty wypłat oraz łączną sumę wypłat. 3. Producent skrobi może przyjąć dostawę ziemniaków o zawartości skrobi  niższej niż 13%, pod warunkiem, że ilość skrobi, którą można wyprodukować z  tych ziemniaków, nie przekracza 1% limitu produkcyjnego skrobi."
2001_627.txt:Art.271,"Co robi minister po uzyskaniu informacji o awarii przemysłowej?","Art. 271. 1. Minister właściwy do spraw środowiska po uzyskaniu informacji o wystąpieniu  awarii przemysłowej poza terytorium Rzeczypospolitej Polskiej, której skutki  mogą oddziaływać na terytorium Rzeczypospolitej Polskiej, niezwłocznie  zawiadamia o tym Komendanta Głównego Państwowej Straży Pożarnej. 2. Komendant Główny Państwowej Straży Pożarnej, w sytuacji określonej w ust. 1,  niezwłocznie podejmuje akcję ratowniczą. 3. Na potrzeby wystąpienia z roszczeniem wobec podmiotów odpowiedzialnych  Komendant Główny Państwowej Straży Pożarnej, po zakończeniu akcji  ratowniczej, dokona szacunku strat powstałych wskutek transgranicznego  oddziaływania awarii przemysłowej na środowisko oraz kosztów akcji  ratunkowej.  Tytuł V  Środki finansowo-prawne  Dział I  Przepisy ogólne"
1994_344.txt:Art.11,"Gdzie się ogłasza zamówienia publiczne?","Art. 11.  1. Ogłoszenia o zamówieniach publicznych przewidziane w ustawie ogłasza się w Biuletynie Zamówień Publicznych wydawanym przez Prezesa Urzędu.  2. Prezes Urzędu może ustanowić, w drodze zarządzenia, regionalne lub branżowe  wydania Biuletynu, o którym mowa w ust. 1, oraz określić ich zakres,  zasięg i warunki publikacji ogłoszeń."
1996_2.txt:Art.16,"Na co zostaje przeznaczona nadwyżka bilansowa?","Art. 16.  1. Nadwyżka bilansowa zostaje przeznaczona na zwiększenie funduszu zasobowego.  2. Straty bilansowe kas pokrywane są z funduszu zasobowego, a w części przekraczającej fundusz zasobowy - z funduszu udziałowego."
1997_938.txt:Art.48,"Co może NBP?","Art. 48. NBP może:  1) emitować i sprzedawać papiery wartościowe,  2) sprzedawać i kupować skarbowe papiery wartościowe w operacjach otwartego rynku,  3) organizować obrót papierami wartościowymi, których jest emitentem, oraz skarbowymi papierami wartościowymi."
1996_145.txt:Art.13,"Co wchodzi w skład dochodów klubu?","Art. 13. 1. Dochodami Klubu są:  1) opłata wnoszona przez organizatora wyścigów konnych za wydanie zezwolenia  na organizowanie wyścigów konnych,  2) opłaty w wysokości 2% sumy wpłaconych stawek na zakłady wzajemne na  wyścigi konne rozgrywane w kraju,  3) opłaty z tytułu licencji i innych zezwoleń przewidzianych w ustawie,  4) zapisy, spadki i darowizny,  5) inne dochody. 2. Klub prowadzi samodzielną gospodarkę finansową w oparciu o roczny plan  finansowy, zatwierdzany przez ministra właściwego do spraw rolnictwa."
2001_1545.txt:Art.98,"Czy dłużnik może powołać się na ograniczenie odpowiedzialności?","Art. 98.  § 1. Dłużnik może powołać się na ograniczenie odpowiedzialności niezależnie od  ustanowienia funduszu ograniczenia odpowiedzialności zgodnie z art. 11  Konwencji o ograniczeniu odpowiedzialności, z zastrzeżeniem § 2.  § 2. Sąd może, w razie prawdopodobieństwa ujawnienia się kolejnych wierzycieli,  uzależnić ograniczenie odpowiedzialności od ustanowienia funduszu  ograniczenia odpowiedzialności"
1997_555.txt:Art.81,"Czy oskarżony może mieć przyznanego obrońcę z urzędu?","Art. 81. Jeżeli w warunkach określonych w art. 78 § 1, art. 79 § 1 i 2 oraz w art. 80 oskarżony nie ma obrońcy z wyboru, prezes sądu właściwego do rozpoznania sprawy wyznacza mu obrońcę z urzędu.  Rozdział 9  Obrońcy i pełnomocnicy "
1997_555.txt:Art.6,"Jakie prawo przysługuje oskarżonemu?","Art. 6. Oskarżonemu przysługuje prawo do obrony, w tym prawo do korzystania z pomocy obrońcy, o czym należy go pouczyć."
1997_883.txt:Art.4,"Kto sprawuje nadzór nad uniwersytetem?","Art. 4.  1. Nadzór nad Uniwersytetem sprawuje Minister Edukacji Narodowej.  2. Wydział Teologiczny Uniwersytetu pozostaje ponadto pod nadzorem władz Kościoła Katolickiego w zakresie ustalonym przez statut uczelni."
1997_714.txt:Art.43,"Gdzie są określone stawki ryczałtu od proboszczów?","Art. 43. 1. Kwartalne stawki ryczałtu od przychodów proboszczów i od przychodów  wikariuszy określone są odpowiednio w załącznikach nr 5 i 6 do ustawy. 2. Kwartalne stawki ryczałtu od przychodów proboszczów i od przychodów  wikariuszy, o których mowa w ust. 1, stosuje się odpowiednio do osób  duchownych wszystkich wyznań, sprawujących porównywalne funkcje. 3. Liczbę mieszkańców przyjmuje się według stanu na dzień 31 grudnia roku  poprzedzającego rok podatkowy. "
1999_96.txt:Art.8,"Kto ustala sieć gimnazjów?","Art. 8. 1. Rady gmin, do dnia 15 marca 1999 r., ustalą sieć gimnazjów publicznych  prowadzonych przez gminy oraz granice ich obwodów. 2. Organy prowadzące gimnazja publiczne, powierzą do dnia 15 kwietnia 1999  r., stanowiska dyrektorów gimnazjów, z tym że ich objęcie następuje z dniem  1 września 1999 r."
2000_440.txt:Art.1,"Gdzie jest siedziba Chrześcijańskiej Akademii Teologicznej?","Art. 1. 1. Chrześcijańska Akademia Teologiczna w Warszawie, zwana dalej "Akademią",  jest uczelnią państwową utworzoną w 1954 roku z Wydziału Teologii  Ewangelickiej Uniwersytetu Warszawskiego. 2. Akademia nawiązuje do tradycji Studium Teologii Prawosławnej Uniwersytetu  Warszawskiego. 3. Siedzibą Akademii jest Warszawa."
